,Renoir,Matisse,Pissarro,Hassam,VanGogh,Sargent,Degas,Monet,Gauguin,Cezanne,accuracy,macro avg,weighted avg
precision,0.2564102564102564,0.2897196261682243,0.2903225806451613,0.28703703703703703,0.423728813559322,0.3217391304347826,0.3983739837398374,0.34108527131782945,0.3728813559322034,0.27472527472527475,0.32727272727272727,0.3256023329969928,0.3256023329969929
recall,0.20202020202020202,0.31313131313131315,0.18181818181818182,0.31313131313131315,0.25252525252525254,0.37373737373737376,0.494949494949495,0.4444444444444444,0.4444444444444444,0.25252525252525254,0.32727272727272727,0.3272727272727273,0.32727272727272727
f1-score,0.22598870056497175,0.3009708737864078,0.2236024844720497,0.29951690821256044,0.3164556962025316,0.34579439252336447,0.4414414414414415,0.3859649122807018,0.40552995391705066,0.26315789473684215,0.32727272727272727,0.32084232581379213,0.3208423258137923
support,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.32727272727272727,990.0,990.0
