,Renoir,Matisse,Pissarro,Hassam,VanGogh,Sargent,Degas,Monet,Gauguin,Cezanne,accuracy,macro avg,weighted avg
precision,0.813953488372093,0.5970149253731343,0.5945945945945946,0.5371900826446281,0.7263157894736842,0.5321100917431193,0.5142857142857142,0.7875,0.693069306930693,0.8571428571428571,0.6323232323232323,0.6653176850560517,0.6653176850560518
recall,0.35353535353535354,0.8080808080808081,0.6666666666666666,0.6565656565656566,0.696969696969697,0.5858585858585859,0.7272727272727273,0.6363636363636364,0.7070707070707071,0.48484848484848486,0.6323232323232323,0.6323232323232324,0.6323232323232323
f1-score,0.49295774647887325,0.6866952789699571,0.6285714285714286,0.5909090909090909,0.7113402061855671,0.5576923076923076,0.6025104602510459,0.7039106145251396,0.7000000000000001,0.6193548387096773,0.6323232323232323,0.6293941972293087,0.6293941972293088
support,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.6323232323232323,990.0,990.0
