,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.9596541786743515,0.9457794208256316,0.9062038404726735,0.9134682484298674,0.9224011713030746,0.8824006488240065,0.945583038869258,0.9283667621776505,0.9029126213592233,0.8974535443909153,0.9212857142857143,0.9204223475326652,0.9210513089319364
recall,0.9631236442516269,0.9783301465901848,0.9042004421518055,0.8922972051806408,0.9251101321585903,0.8724939855653568,0.9509594882729211,0.9377713458755427,0.8792727272727273,0.8986905582356995,0.9212857142857143,0.9202249675555096,0.9212857142857143
f1-score,0.9613857813063875,0.9617794486215538,0.9052010328292143,0.9027586206896552,0.9237536656891495,0.8774193548387097,0.9482636428065202,0.9330453563714902,0.8909358879882094,0.8980716253443527,0.9212857142857143,0.9202614416485243,0.9211030013557164
support,1383.0,1569.0,1357.0,1467.0,1362.0,1247.0,1407.0,1382.0,1375.0,1451.0,0.9212857142857143,14000.0,14000.0
